ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,TotalSpent,TotalPurchases,AvgPurchaseValue,Age,CustomerTenure,HasKids,WebVisitToPurchaseRatio,PremiumProductRatio,CampaignScore,Cluster,Segment
5524,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,1617,25,64.68,57,848,0,0.875,0.730364873222016,0,2,Medium Engagement
2174,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,27,6,4.5,60,298,1,5.0,0.6296296296296297,0,0,High Engagement
4141,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,776,21,36.95238095238095,49,497,0,0.5,0.7126288659793815,0,2,Medium Engagement
6182,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,53,8,6.625,30,324,1,3.0,0.5849056603773585,0,0,High Engagement
5324,1981,PhD,Married,58293.0,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,422,19,22.210526315789473,33,346,1,1.0,0.6895734597156398,0,2,Medium Engagement
7446,1967,Master,Together,62513.0,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,716,22,32.54545454545455,47,478,1,1.0,0.8631284916201117,0,2,Medium Engagement
965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,590,21,28.095238095238095,43,778,1,0.8571428571428571,0.676271186440678,0,2,Medium Engagement
6177,1985,PhD,Married,33454.0,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,169,10,16.9,29,602,1,2.0,0.7810650887573964,0,0,High Engagement
4855,1974,PhD,Together,30351.0,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,6,7.666666666666667,40,573,1,3.0,0.8260869565217391,0,0,High Engagement
5899,1950,PhD,Together,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,49,2,24.5,64,293,1,20.0,0.6938775510204082,1,0,High Engagement
1994,1983,Graduation,Married,,1,0,15-11-2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,19,4,4.75,31,411,1,7.0,0.5789473684210527,0,0,High Engagement
